Kraj,Trida,Sesk,Podsesk,Pol,Para,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2024 VKT
Hlavní město Praha,Běžné výdaje,50,501,5011,2141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14102.92,30440.54,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,2169,0.0,0.0,0.0,183804.0,8822274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,2212,3774149.0,3563855.0,3466686.0,4246960.0,2409107.0,3892792.16,4010846.0,4188436.0,4746763.0,4786098.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,2291,0.0,0.0,0.0,0.0,0.0,122400.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149357.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,2411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64404.0,465736.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3111,118000.0,374584.0,233419.0,301500.0,61020.0,0.0,111759.26,23921.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3113,50175.82,0.0,50200.0,149835.17,285545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3117,0.0,0.0,0.0,160093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3119,0.0,0.0,268592.0,362704.49,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3292,0.0,112444.77,413793.29,256240.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3299,0.0,646947.45,831984.34,806891.85,612560.0,429243.87,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3313,290675.0,309560.0,344613.0,195837.0,38182.0,12750.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3314,4249396.0,4645937.0,5622478.0,6420937.0,7411749.0,8405058.0,8804250.0,8194143.4,8281892.61,8515330.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3319,687666.0,688933.0,819390.0,929676.0,985004.0,896286.0,1107901.0,1507256.0,1734916.0,703193.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3349,604754.0,619099.0,687193.0,758000.0,864103.0,976501.0,1075232.0,779789.0,1047590.0,1095286.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3392,826257.0,912407.0,914911.0,994222.0,779217.0,544608.0,208426.0,657951.0,886094.02,952024.5,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3399,0.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,440514.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3412,0.0,0.0,0.0,0.0,0.0,0.0,97932.8,331495.0,464146.0,487922.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3421,0.0,0.0,0.0,0.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3429,0.0,0.0,4230.0,30000.0,306805.0,378592.0,396346.0,1171866.0,1399858.0,1507069.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3539,2690140.0,2656250.0,1139553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3549,0.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3612,152032.0,0.0,0.0,1821586.0,16557.0,0.0,0.0,0.0,0.0,309258.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3632,389947.0,411684.0,815216.0,825146.0,144012.0,164590.0,195859.0,178833.0,170670.0,194747.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3639,5566676.0,6384022.0,6547944.0,6619313.0,13542670.0,14135723.0,4328610.0,5172401.0,5991711.0,5433509.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65610.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3722,2003288.0,2121338.0,2382066.0,2548412.0,2520459.0,2279493.0,2519507.0,2197591.0,2357851.0,2303377.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3725,378538.0,406839.0,428043.0,444631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13459.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3745,13667082.0,13543948.5,13422661.61,16224044.53,14160886.62,15484285.82,16080613.4,16473383.2,15371510.26,16036146.4,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,3900,0.0,0.0,0.0,0.0,311850.0,586424.0,465762.0,500177.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4227,4498737.0,4795934.0,6180993.0,6330462.0,6438485.45,6687996.3,6563256.0,6798687.0,6898195.0,7102284.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4311,51000.0,234530.0,279145.0,346844.0,272935.0,281197.93,409080.0,272853.0,352022.0,0.0,0.0,347840.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4329,0.0,5889767.0,5469192.0,6466803.0,7467773.0,7262973.0,10876888.0,10799946.0,11775034.0,92838.0,0.0,12369881.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4339,7105141.5,8581121.0,9509662.0,10671506.0,10167862.0,13400326.6,13696914.0,13973079.0,15229132.0,478044.6400000006,0.0,14269824.36
Hlavní město Praha,Běžné výdaje,50,501,5011,4341,88059.7,539008.0,581249.25,725302.33,487192.0,454495.0,470727.0,370594.0,376534.0,205886.0,0.0,391522.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4342,461912.0,468373.0,550800.0,589282.0,669312.0,333833.0,428278.0,676251.0,994080.98,307418.5,0.0,515018.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4349,165000.0,566883.0,923128.0,2092688.92,1207456.6,1410691.3,542480.0,692824.0,480992.0,10564.0,0.0,383553.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4351,5897448.0,6622859.0,7564213.0,9104173.0,9343242.0,11948780.4,13412670.0,8308603.0,9163015.0,7933743.0,0.0,2381613.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4359,511112.0,791431.0,1150673.0,1159574.0,1020790.0,1905116.07,2480247.14,2758557.29,2762459.0,233152.0,0.0,2595300.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4375,0.0,0.0,0.0,0.0,94790.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hlavní město Praha,Běžné výdaje,50,501,5011,4379,0.0,0.0,608678.36,1403380.57,1340074.5,1312829.3,1511657.2,1409658.08,952095.1,30830.0,0.0,536300.0
